# z u u_p F_integral F_diff k du_dz
5.799999999999999600e-01 1.579130221909663503e-06 1.583771314782296656e-06 1.099372202018016424e+03 1.099160728340089690e+03 1.504500408619257712e+02 -5.787907177240670206e-06
5.849999999999999645e-01 1.549981928670718029e-06 1.554731839630345296e-06 1.126712213098725897e+03 1.126493420496235558e+03 1.488860619291509124e+02 -5.870170920837425585e-06
5.899999999999999689e-01 1.520428512701289248e-06 1.525288709212063007e-06 1.154362000768588132e+03 1.154135663727765632e+03 1.472927661883779820e+02 -5.949854206349277101e-06
5.949999999999999734e-01 1.490483386607225258e-06 1.495455210703309099e-06 1.182306687312928261e+03 1.182072579522615797e+03 1.456702956778657381e+02 -6.026750176011491002e-06
5.999999999999999778e-01 1.460161010941174338e-06 1.465245652945362010e-06 1.210529647653276015e+03 1.210287542956453308e+03 1.440188229287936679e+02 -6.100646556968956125e-06
6.049999999999999822e-01 1.429476921037535697e-06 1.434675389347966623e-06 1.239012355552822555e+03 1.238762029060450459e+03 1.423385518626401733e+02 -6.171325766161160909e-06
6.099999999999999867e-01 1.398447753279562729e-06 1.403760839629664114e-06 1.267734215255537265e+03 1.267475444646924871e+03 1.406297186841275391e+02 -6.238565032690777467e-06
6.149999999999999911e-01 1.367091270710627922e-06 1.372519510211463079e-06 1.296672376883981769e+03 1.296404943921452286e+03 1.388925927680211601e+02 -6.302136537848605102e-06
6.199999999999999956e-01 1.335426387901076677e-06 1.340970013064542551e-06 1.325801533704436224e+03 1.325525225994265156e+03 1.371274775379901314e+02 -6.361807572874875511e-06
6.250000000000000000e-01 1.303473194981879167e-06 1.309132082796321726e-06 1.355093699137604517e+03 1.354808312174247931e+03 1.353347113355991382e+02 -6.417340714511023917e-06
6.300000000000000044e-01 1.271252980755966438e-06 1.277026591741991984e-06 1.384517961157780519e+03 1.384223300693671263e+03 1.335146682774363569e+02 -6.468494018490474526e-06
6.350000000000000089e-01 1.238788254796974422e-06 1.244675562810415919e-06 1.414040211497462224e+03 1.413736096286506836e+03 1.316677590982471600e+02 -6.515021231402184717e-06
6.400000000000000133e-01 1.206102768441944591e-06 1.212102179814111289e-06 1.443622846879368808e+03 1.443309111848934663e+03 1.297944319778432032e+02 -6.556672021930724342e-06
